[2025-09-17 13:58:44] [thread  4948  ] [  info  ] | 0#��[01|01][已发现] => id:abilities/dracolyte/dragon_familiar_npc, old_id:abilities/dracolyte/dragon_familiar_npc, 优先级:600, 初距:0.76, 等级:1601332596, 坐标(56.80, 176.35, 129.34) 
[2025-09-17 13:59:59] [thread  17100 ] [  info  ] | [01|01][已发现] => id:abilities/dracolyte/dragon_familiar_npc, old_id:abilities/dracolyte/dragon_familiar_npc, 优先级:600, 初距:0.65, 等级:1601332596, 坐标(56.80, 176.42, 129.33) 
[2025-09-17 14:02:39] [thread  19124 ] [  info  ] | [01|01][已发现] => id:abilities/dracolyte/dragon_familiar_npc, 优先级:600, 初距:0.42, 等级:1601332596, 坐标(56.80, 176.60, 129.53) 
[2025-09-17 14:03:22] [thread  19124 ] [  info  ] | 终端日志：已关闭（文件日志仍然写入） 
[2025-09-17 16:56:26] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:29] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:32] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:35] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:38] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:41] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:44] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:47] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:50] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:53] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:56] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:56:59] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:02] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:05] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:08] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:11] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:14] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:17] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:20] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:23] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:26] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:29] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:32] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:35] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:38] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:41] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:44] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:47] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:50] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:53] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:56] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:57:59] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:02] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:05] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:08] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:11] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:14] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:17] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:20] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:23] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:26] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:29] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:32] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:35] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:38] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:41] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:44] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:47] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:58:50] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:05] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:05] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:05] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:05] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:05] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:05] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:06] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:06] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:06] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:06] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:06] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:06] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:06] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:06] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:06] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:07] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:07] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:07] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:07] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:07] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:07] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:07] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:07] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:07] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:08] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:08] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 16:59:08] [thread  18428 ] [ error  ] | Health:1827.0 
[2025-09-17 17:33:31] [thread  18428 ] [  info  ] | 终端日志：已关闭（文件日志仍然写入） 
